嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
同居	どうきょ	doukyo	living together	жить вместе
動向	どうこう	doukou	trend, tendency, movement, attitude	тенденция; движение; отношение
同士	どうし	doushi	fellow, companion, comrade	товарищ
同志	どうし	doushi	same mind, comrade, kindred soul	товарищ; родственная душа
如何して	どうして	doushite	why?, for what reason, how, in what way, for what purpose, what for	почему?; по какой причине; как; каким образом; с какой целью; зачем
如何しても	どうしても	doushitemo	by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely	всеми средствами; любой ценой; несмотря ни на что; во всяком случае; несомненно
同情	どうじょう	doujou	sympathy, compassion, sympathize, pity, feel for	сочувствие; сострадание
道場	どうじょう	doujou	dojo, hall used for martial arts training, mandala	додзе; зал для боевых искусств обучения
何卒	どうぞ	douzo	please, kindly, by all means	пожалуйста; любезно; всеми средствами
どうぞ宜しく	どうぞよろしく	douzoyoroshiku	pleased to meet you	рад встретиться с вами
同調	どうちょう	douchou	sympathy, agree with, alignment, tuning	радионастройка; равняться на кого-л.; сочувствовать; соглашаться
動的	どうてき	douteki	dynamic, kinetic	динамичный
同等	どうとう	doutou	equality, equal, same rights, same rank	равенство
堂々	どうどう	doudou	magnificent, grand, impressive	великолепный; великий; впечатляющий
	どうにか	dounika	in some way or other, one way or another	так или иначе
導入	どうにゅう	dounyuu	introduction, bringing in, leading in	введение; в результате чего в; что приводить в
同封	どうふう	doufuu	enclosure (e.g. in a letter)	вкладывать в тот же конверт
同盟	どうめい	doumei	alliance, union, league	альянс; союз; лига
	どうやら	douyara	it seems like, somehow or other	кажется; что; так или иначе
動揺	どうよう	douyou	disturbance, unrest, shaking, trembling, pitching, rolling, oscillation, agitation, excitement, commotion	нарушение; беспорядки; дрожь; колебание
動力	どうりょく	douryoku	power, motive power, dynamic force	мощность; движущая сила; динамическая сила
独裁	どくさい	dokusai	dictatorship, despotism	диктатура; деспотия
読者	どくしゃ	dokusha	reader	читатель
独自	どくじ	dokuji	original, peculiar, characteristic	оригинальный; своеобразный; характерный
独占	どくせん	dokusen	monopoly	монополия
独創	どくそう	dokusou	originality	оригинальность
何処	どこ	doko	where, what place	где; какое место
何処か	どこか	dokoka	somewhere, anywhere, in some respects	где-то; в любом месте; в некоторых отношениях
土産	どさん	dosan	product of the land	продукт определенного региона
土台	どだい	dodai	foundation, base, basis	фундамент; база; основа
何方	どちら	dochira	which, who	который
土手	どて	dote	embankment, bank	набережная; банк
何方	どなた	donata	who?	кто ?
怒鳴る	どなる	donaru	to shout, to yell	кричать; орать
何の	どの	dono	which, what	который; что
土俵	どひょう	dohyou	arena	арена
土木	どぼく	doboku	public works	общественные работы
何れ	どれ	dore	well, now, let me see, which (of three or more)	хорошо; теперь; позвольте мне видеть; что (из трех или более)
何々	どれどれ	doredore	which (emphatic)	которые
度忘れ	どわすれ	dowasure	lapse of memory, forget for a moment	забывчивость
鈍感	どんかん	donkan	thickheadedness, stolidity	флегматичность
内閣	ないかく	naikaku	cabinet, (government) ministry	кабинет; министерство
乃至	ないし	naishi	from...to, between...and, or	от ... до; между
内臓	ないぞう	naizou	internal organs, intestines, viscera	внутренние органы
内部	ないぶ	naibu	interior, inside, internal	интерьер; внутри;
内乱	ないらん	nairan	civil war, insurrection, rebellion, domestic conflict	гражданская война; восстание; мятеж; внутренний конфликт
内陸	ないりく	nairiku	inland	внутри страны
苗	なえ	nae	rice seedling	(рисовая) рассада
尚	なお	nao	furthermore, still, yet, more, still more, greater, further, less	ещё (больше); кн. всё (ещё); кн. подобно тому,как...
尚更	なおさら	naosara	all the more, still less	(тем) более
