嗚呼	ああ	aa	Ах!; О!; Увы !
灯	ともしび	tomoshibi	свет (от светильника)
伴う	ともなう	tomonau	сопровождать 
共働き	ともばたらき	tomobataraki	двойной доход
捕らえる	とらえる	toraeru	ухватиться; схватить; поймать; захватить
取りあえず	とりあえず	toriaezu	сразу; в первую очередь
取り扱い	とりあつかい	toriatsukai	лечение; обслуживание; управление
取り扱う	とりあつかう	toriatsukau	обращаться,обходиться с кем-чем-л.; относиться к кому-чему-л.; обращаться с чем-л.
鳥居	とりい	torii	тории (ворота при входе в синтоистский храм)
取り替え	とりかえ	torikae	обмен
取り組む	とりくむ	torikumu	спорт. встречаться с кем-л. (в поединке); серьёзно взяться (за какую-л. задачу)
取り締まり	とりしまり	torishimari	контроль; управление
取り締まる	とりしまる	torishimaru	управлять; контролировать; 
取り調べる	とりしらべる	torishiraberu	исследовать; изучать
取り立てる	とりたてる	toritateru	взимать; собирать; назначать (на должность); покровительствовать; опекать
取り次ぐ	とりつぐ	toritsugu	действовать в качестве агента; объявить (кого-то); передавать (сообщение)
取り除く	とりのぞく	torinozoku	удалить; забрать; отделить
取り引き	とりひき	torihiki	сделка; бизнес
取り巻く	とりまく	torimaku	окружить 
取り混ぜる	とりまぜる	torimazeru	перемешать; положить вместе
取り戻す	とりもどす	torimodosu	чтобы забрать; чтобы восстановить
取り寄せる	とりよせる	toriyoseru	заказывать; посылать за
取り分	とりわけ	toriwake	особенно; прежде всего
蕩ける	とろける	torokeru	растапливать; плавить; очаровывать
	とんだ	tonda	неожиданный; поразительный; ужасный; скандальный
胴	どう	dou	туловище; торс; корпус; каркас
働	どう	dou	работа; труд
同	どう	dou	то же самое
同意	どうい	doui	соглашение; согласие; тот же смысл; одобрение
動員	どういん	douin	мобилизация
同感	どうかん	doukan	cоглашение; симпатия; совпадение
動機	どうき	douki	мотив; стимул
同級	どうきゅう	doukyuu	того же класса,порядка
同居	どうきょ	doukyo	жить вместе
動向	どうこう	doukou	тенденция; движение; отношение
同士	どうし	doushi	товарищ 
同志	どうし	doushi	товарищ; родственная душа
如何して	どうして	doushite	почему?; по какой причине; как; каким образом; с какой целью; зачем
如何しても	どうしても	doushitemo	всеми средствами; любой ценой; несмотря ни на что; во всяком случае; несомненно
同情	どうじょう	doujou	сочувствие; сострадание
道場	どうじょう	doujou	додзе; зал для боевых искусств обучения
